vl,universe,window,bar_idx,equity
8,OldGuardNoBNB,0,80,1.840687
8,OldGuardNoBNB,0,85,1.840687
8,OldGuardNoBNB,0,89,2.586088
8,OldGuardNoBNB,1,0,1.000000
8,OldGuardNoBNB,1,5,0.889053
8,OldGuardNoBNB,1,10,0.889053
8,OldGuardNoBNB,1,15,0.649536
8,OldGuardNoBNB,1,20,0.649536
8,OldGuardNoBNB,1,25,0.649536
8,OldGuardNoBNB,1,30,0.649536
8,OldGuardNoBNB,1,35,0.649536
8,OldGuardNoBNB,1,40,0.649536
8,OldGuardNoBNB,1,45,0.649536
8,OldGuardNoBNB,1,50,0.568610
8,OldGuardNoBNB,1,55,0.601961
8,OldGuardNoBNB,1,60,0.580981
8,OldGuardNoBNB,1,65,0.580981
8,OldGuardNoBNB,1,70,0.562236
8,OldGuardNoBNB,1,75,0.562236
8,OldGuardNoBNB,1,80,0.562236
8,OldGuardNoBNB,1,85,0.562236
8,OldGuardNoBNB,1,90,0.562236
8,OldGuardNoBNB,1,95,0.562236
8,OldGuardNoBNB,1,100,0.464658
8,OldGuardNoBNB,1,105,0.459409
8,OldGuardNoBNB,1,110,0.459409
8,OldGuardNoBNB,1,114,0.459409
8,OldGuardNoBNB,2,0,1.000000
8,OldGuardNoBNB,2,5,1.000000
8,OldGuardNoBNB,2,10,1.000000
8,OldGuardNoBNB,2,15,1.000000
8,OldGuardNoBNB,2,20,1.000000
8,OldGuardNoBNB,2,25,0.972612
8,OldGuardNoBNB,2,30,1.066983
8,OldGuardNoBNB,2,35,1.066983
8,OldGuardNoBNB,2,40,1.066983
8,OldGuardNoBNB,2,45,1.198169
8,OldGuardNoBNB,2,50,1.198169
8,OldGuardNoBNB,2,55,1.198169
8,OldGuardNoBNB,2,60,1.198169
8,OldGuardNoBNB,2,65,1.198169
8,OldGuardNoBNB,2,70,1.126629
8,OldGuardNoBNB,2,75,1.099843
8,OldGuardNoBNB,2,80,2.020026
8,OldGuardNoBNB,2,85,2.020026
8,OldGuardNoBNB,2,90,2.020026
8,OldGuardNoBNB,2,95,2.020026
8,OldGuardNoBNB,2,100,2.020026
8,OldGuardNoBNB,2,105,2.020026
8,OldGuardNoBNB,2,110,2.020026
8,OldGuardNoBNB,2,115,2.735728
8,OldGuardNoBNB,2,119,2.394323
8,OldGuardNoBNB,3,0,1.000000
8,OldGuardNoBNB,3,5,0.992395
8,OldGuardNoBNB,3,10,3.618634
8,OldGuardNoBNB,3,15,3.618634
8,OldGuardNoBNB,3,20,4.280760
8,OldGuardNoBNB,3,25,4.280760
8,OldGuardNoBNB,3,30,3.867748
8,OldGuardNoBNB,3,35,4.771161
8,OldGuardNoBNB,3,40,5.684755
8,OldGuardNoBNB,3,45,5.684755
8,OldGuardNoBNB,3,50,5.684755
8,OldGuardNoBNB,3,55,5.684755
8,OldGuardNoBNB,3,60,4.985004
8,OldGuardNoBNB,3,65,4.985004
8,OldGuardNoBNB,3,70,4.985004
8,OldGuardNoBNB,3,75,4.985004
8,OldGuardNoBNB,3,80,4.985004
8,OldGuardNoBNB,3,85,4.985004
8,OldGuardNoBNB,3,88,4.666783
8,OldGuardNoBNB,4,0,1.000000
8,OldGuardNoBNB,4,5,1.064632
8,OldGuardNoBNB,4,10,1.064632
8,OldGuardNoBNB,4,15,1.064632
8,OldGuardNoBNB,4,20,1.064632
8,OldGuardNoBNB,4,25,1.064632
8,OldGuardNoBNB,4,30,0.961705
8,OldGuardNoBNB,4,35,0.931696
8,OldGuardNoBNB,4,40,0.931696
8,OldGuardNoBNB,4,45,0.931696
8,OldGuardNoBNB,4,50,0.931696
8,OldGuardNoBNB,4,55,0.931696
8,OldGuardNoBNB,4,60,0.931696
8,OldGuardNoBNB,4,65,0.924614
8,OldGuardNoBNB,4,70,0.924614
8,OldGuardNoBNB,4,75,0.924614
8,OldGuardNoBNB,4,80,0.924614
8,OldGuardNoBNB,4,85,0.924614
8,OldGuardNoBNB,4,90,0.924614
8,OldGuardNoBNB,4,95,0.882156
8,OldGuardNoBNB,4,100,0.882156
8,OldGuardNoBNB,4,105,0.882156
8,OldGuardNoBNB,4,110,0.882156
8,OldGuardNoBNB,4,115,0.882156
8,OldGuardNoBNB,4,120,0.882156
8,OldGuardNoBNB,4,125,0.882156
8,OldGuardNoBNB,4,126,1.043408
8,OldGuardNoBNB,5,0,1.000000
8,OldGuardNoBNB,5,5,1.000000
8,OldGuardNoBNB,5,10,1.000000
8,OldGuardNoBNB,5,15,1.000000
8,OldGuardNoBNB,5,20,1.000000
8,OldGuardNoBNB,5,25,0.918501
