mult,universe,pases,avg_sharpe,return_pct,dd_pct,trades
2.60,Legacy4,5,4.1618,1061.29,61.81,120
2.60,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.60,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.60,LargeCaps5,3,4.9219,1276.84,64.45,92
2.60,Legacy3,5,3.2603,1033.47,61.81,123
2.60,LowVolume5,6,18.3043,2032.57,70.43,110
2.60,OldGuard4,4,-5.7770,134.53,61.81,110
2.65,Base5,6,22.9786,820.89,56.33,92
2.65,NoDOGE,3,4.9219,1276.84,64.45,92
2.65,Legacy4,5,4.1618,1061.29,61.81,120
2.65,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.65,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.65,LargeCaps5,3,4.9219,1276.84,64.45,92
2.65,Legacy3,5,3.2603,1033.47,61.81,123
2.65,LowVolume5,6,18.3043,2032.57,70.43,110
2.65,OldGuard4,4,-5.7770,134.53,61.81,110
2.70,Base5,6,22.9786,820.89,56.33,92
2.70,NoDOGE,3,4.9219,1276.84,64.45,92
2.70,Legacy4,5,4.1618,1061.29,61.81,120
2.70,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.70,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.70,LargeCaps5,3,4.9219,1276.84,64.45,92
2.70,Legacy3,5,3.2603,1033.47,61.81,123
2.70,LowVolume5,6,18.3043,2032.57,70.43,110
2.70,OldGuard4,4,-5.7770,134.53,61.81,110
2.75,Base5,6,22.9786,820.89,56.33,92
2.75,NoDOGE,3,4.9219,1276.84,64.45,92
2.75,Legacy4,5,4.1618,1061.29,61.81,120
2.75,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.75,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.75,LargeCaps5,3,4.9219,1276.84,64.45,92
2.75,Legacy3,5,3.2603,1033.47,61.81,123
2.75,LowVolume5,6,18.3043,2032.57,70.43,110
2.75,OldGuard4,4,-5.7770,134.53,61.81,110
2.80,Base5,6,22.9786,820.89,56.33,92
2.80,NoDOGE,3,4.9219,1276.84,64.45,92
2.80,Legacy4,5,4.1618,1061.29,61.81,120
2.80,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.80,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.80,LargeCaps5,3,4.9219,1276.84,64.45,92
2.80,Legacy3,5,3.2603,1033.47,61.81,123
2.80,LowVolume5,6,18.3043,2032.57,70.43,110
2.80,OldGuard4,4,-5.7770,134.53,61.81,110
2.85,Base5,6,22.9786,820.89,56.33,92
2.85,NoDOGE,3,4.9219,1276.84,64.45,92
2.85,Legacy4,5,4.1618,1061.29,61.81,120
2.85,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.85,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.85,LargeCaps5,3,4.9219,1276.84,64.45,92
2.85,Legacy3,5,3.2603,1033.47,61.81,123
2.85,LowVolume5,6,18.3043,2032.57,70.43,110
2.85,OldGuard4,4,-5.7770,134.53,61.81,110
2.90,Base5,6,22.9786,820.89,56.33,92
2.90,NoDOGE,3,4.9219,1276.84,64.45,92
2.90,Legacy4,5,4.1618,1061.29,61.81,120
2.90,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.90,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.90,LargeCaps5,3,4.9219,1276.84,64.45,92
2.90,Legacy3,5,3.2603,1033.47,61.81,123
2.90,LowVolume5,6,18.3043,2032.57,70.43,110
2.90,OldGuard4,4,-5.7770,134.53,61.81,110
2.95,Base5,6,22.9786,820.89,56.33,92
2.95,NoDOGE,3,4.9219,1276.84,64.45,92
2.95,Legacy4,5,4.1618,1061.29,61.81,120
2.95,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.95,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.95,LargeCaps5,3,4.9219,1276.84,64.45,92
2.95,Legacy3,5,3.2603,1033.47,61.81,123
2.95,LowVolume5,6,18.3043,2032.57,70.43,110
2.95,OldGuard4,4,-5.7770,134.53,61.81,110
3.00,Base5,6,22.9786,820.89,56.33,92
3.00,NoDOGE,3,4.9219,1276.84,64.45,92
3.00,Legacy4,5,4.1618,1061.29,61.81,120
3.00,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.00,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.00,LargeCaps5,3,4.9219,1276.84,64.45,92
3.00,Legacy3,5,3.2603,1033.47,61.81,123
3.00,LowVolume5,6,18.3043,2032.57,70.43,110
3.00,OldGuard4,4,-5.7770,134.53,61.81,110
3.05,Base5,6,22.9786,820.89,56.33,92
3.05,NoDOGE,3,4.9219,1276.84,64.45,92
3.05,Legacy4,5,4.1618,1061.29,61.81,120
3.05,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.05,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.05,LargeCaps5,3,4.9219,1276.84,64.45,92
3.05,Legacy3,5,3.2603,1033.47,61.81,123
3.05,LowVolume5,6,18.3043,2032.57,70.43,110
3.05,OldGuard4,4,-5.7770,134.53,61.81,110
3.10,Base5,6,22.9786,820.89,56.33,92
3.10,NoDOGE,3,4.9219,1276.84,64.45,92
3.10,Legacy4,5,4.1618,1061.29,61.81,120
3.10,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.10,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.10,LargeCaps5,3,4.9219,1276.84,64.45,92
3.10,Legacy3,5,3.2603,1033.47,61.81,123
3.10,LowVolume5,6,18.3043,2032.57,70.43,110
3.10,OldGuard4,4,-5.7770,134.53,61.81,110
3.15,Base5,6,22.9786,820.89,56.33,92
3.15,NoDOGE,3,4.9219,1276.84,64.45,92
3.15,Legacy4,5,4.1618,1061.29,61.81,120
3.15,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.15,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.15,LargeCaps5,3,4.9219,1276.84,64.45,92
3.15,Legacy3,5,3.2603,1033.47,61.81,123
3.15,LowVolume5,6,18.3043,2032.57,70.43,110
3.15,OldGuard4,4,-5.7770,134.53,61.81,110
3.20,Base5,6,22.9786,820.89,56.33,92
3.20,NoDOGE,3,4.9219,1276.84,64.45,92
3.20,Legacy4,5,4.1618,1061.29,61.81,120
3.20,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.20,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.20,LargeCaps5,3,4.9219,1276.84,64.45,92
3.20,Legacy3,5,3.2603,1033.47,61.81,123
3.20,LowVolume5,6,18.3043,2032.57,70.43,110
3.20,OldGuard4,4,-5.7770,134.53,61.81,110
3.25,Base5,6,22.9786,820.89,56.33,92
3.25,NoDOGE,3,4.9219,1276.84,64.45,92
3.25,Legacy4,5,4.1618,1061.29,61.81,120
3.25,Legacy5BNB,8,35.6246,2308.38,38.42,122
