vl,universe,window,bar_idx,equity
1,LargeCaps5,0,5,1.240081
1,LargeCaps5,0,10,0.746117
1,LargeCaps5,0,15,0.697715
1,LargeCaps5,0,20,0.697715
1,LargeCaps5,0,25,0.614131
1,LargeCaps5,0,30,0.506738
1,LargeCaps5,0,35,0.461582
1,LargeCaps5,0,40,1.893986
1,LargeCaps5,0,45,2.311300
1,LargeCaps5,0,50,2.311300
1,LargeCaps5,0,55,2.677245
1,LargeCaps5,0,60,2.677245
1,LargeCaps5,0,65,2.384248
1,LargeCaps5,0,70,2.384248
1,LargeCaps5,0,72,3.349769
1,LargeCaps5,1,0,1.000000
1,LargeCaps5,1,5,1.000000
1,LargeCaps5,1,10,1.000000
1,LargeCaps5,1,15,1.000000
1,LargeCaps5,1,20,1.000000
1,LargeCaps5,1,25,1.000000
1,LargeCaps5,1,30,1.000000
1,LargeCaps5,1,35,0.994667
1,LargeCaps5,1,40,0.862424
1,LargeCaps5,1,45,0.862424
1,LargeCaps5,1,50,0.862424
1,LargeCaps5,1,55,0.862424
1,LargeCaps5,1,60,0.862424
1,LargeCaps5,1,65,0.831743
1,LargeCaps5,1,70,0.831743
1,LargeCaps5,1,75,0.831743
1,LargeCaps5,1,80,0.890935
1,LargeCaps5,1,85,0.943746
1,LargeCaps5,1,90,0.943746
1,LargeCaps5,1,95,0.804803
1,LargeCaps5,1,100,0.804803
1,LargeCaps5,1,105,0.804803
1,LargeCaps5,1,110,0.734386
1,LargeCaps5,1,115,0.726091
1,LargeCaps5,1,120,0.726091
1,LargeCaps5,1,124,0.726091
1,LargeCaps5,2,0,1.000000
1,LargeCaps5,2,5,1.000000
1,LargeCaps5,2,10,0.859657
1,LargeCaps5,2,15,0.859657
1,LargeCaps5,2,20,0.797938
1,LargeCaps5,2,25,1.194637
1,LargeCaps5,2,30,1.044292
1,LargeCaps5,2,35,0.954144
1,LargeCaps5,2,40,0.954144
1,LargeCaps5,2,45,0.954144
1,LargeCaps5,2,50,0.897174
1,LargeCaps5,2,55,1.106402
1,LargeCaps5,2,60,0.953658
1,LargeCaps5,2,65,1.818806
1,LargeCaps5,2,70,1.988495
1,LargeCaps5,2,75,2.270931
1,LargeCaps5,2,80,2.247538
1,LargeCaps5,2,81,2.356950
1,LargeCaps5,3,0,1.000000
1,LargeCaps5,3,5,0.992395
1,LargeCaps5,3,10,2.295434
1,LargeCaps5,3,15,2.295434
1,LargeCaps5,3,20,2.409618
1,LargeCaps5,3,25,2.409618
1,LargeCaps5,3,30,2.409618
1,LargeCaps5,3,35,2.972448
1,LargeCaps5,3,40,5.130060
1,LargeCaps5,3,45,5.130060
1,LargeCaps5,3,50,4.287656
1,LargeCaps5,3,55,4.287656
1,LargeCaps5,3,60,3.759877
1,LargeCaps5,3,65,3.939503
1,LargeCaps5,3,70,3.939503
1,LargeCaps5,3,75,3.688022
1,LargeCaps5,4,0,1.000000
1,LargeCaps5,4,5,1.064632
1,LargeCaps5,4,10,1.312729
1,LargeCaps5,4,15,1.275325
1,LargeCaps5,4,20,1.568285
1,LargeCaps5,4,25,1.568285
1,LargeCaps5,4,30,1.568285
1,LargeCaps5,4,35,1.568285
1,LargeCaps5,4,40,1.568285
1,LargeCaps5,4,45,1.568285
1,LargeCaps5,4,50,1.568285
1,LargeCaps5,4,55,1.568285
1,LargeCaps5,4,60,1.568285
1,LargeCaps5,4,65,1.568285
1,LargeCaps5,4,70,1.568285
1,LargeCaps5,4,75,1.779042
1,LargeCaps5,4,80,1.697349
1,LargeCaps5,4,85,1.697349
1,LargeCaps5,4,90,1.697349
1,LargeCaps5,4,95,1.697349
1,LargeCaps5,4,100,1.697349
1,LargeCaps5,4,105,1.697349
1,LargeCaps5,4,110,1.697349
1,LargeCaps5,4,112,2.007611
1,LargeCaps5,5,0,1.000000
1,LargeCaps5,5,5,0.890775
1,LargeCaps5,5,10,0.924101
1,LargeCaps5,5,15,1.032043
1,LargeCaps5,5,20,1.032043
1,LargeCaps5,5,25,1.032043
1,LargeCaps5,5,30,1.032043
1,LargeCaps5,5,35,1.032043
1,LargeCaps5,5,40,1.115813
1,LargeCaps5,5,45,1.414047
1,LargeCaps5,5,50,1.500259
1,LargeCaps5,5,55,1.500259
1,LargeCaps5,5,60,1.500259
