step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
173,3.376160,13.016125,89.427626,23.392567,33.733969,38.455437,38.455437,38.455437,38.455437,38.455437
174,3.376160,13.016125,89.427626,23.392567,33.733969,48.445650,48.445650,48.445650,48.445650,48.445650
175,3.376160,13.016125,89.427626,23.392567,33.733969,46.099021,46.099021,46.099021,46.099021,46.099021
176,3.376160,13.016125,89.427626,23.392567,37.308154,46.099021,46.099021,46.099021,46.099021,46.099021
177,3.376160,13.016125,89.427626,23.392567,37.308154,48.211699,48.211699,48.211699,48.211699,48.211699
178,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
179,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
180,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
181,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
182,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
183,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
184,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
185,3.376160,13.016125,89.427626,23.392567,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
186,6.711038,13.016125,89.427626,20.206080,29.792536,43.247937,43.247937,43.247937,43.247937,43.247937
187,6.711038,13.016125,89.427626,20.206080,29.792536,29.580350,29.580350,29.580350,29.580350,29.580350
188,6.711038,13.016125,100.305796,20.206080,29.792536,29.580350,29.580350,29.580350,29.580350,29.580350
189,6.711038,13.016125,100.305796,20.206080,29.792536,33.877898,33.877898,33.877898,33.877898,33.877898
190,6.711038,13.016125,100.305796,20.206080,24.619845,40.582534,40.582534,40.582534,40.582534,40.582534
191,6.711038,13.016125,100.305796,20.206080,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
192,6.711038,13.016125,100.305796,20.206080,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
193,6.711038,13.860073,100.305796,20.206080,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
194,6.711038,13.860073,100.305796,20.206080,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
195,6.711038,13.860073,100.305796,19.692012,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
