universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
OldGuard4,0,20,98.4027,3.833617,4.0081,82,2.44,1
OldGuard4,0,30,64.2315,3.462760,2.5675,73,1.37,1
OldGuard4,0,40,65.3305,3.509197,1.9810,63,1.59,1
OldGuard4,0,50,66.5200,3.555815,1.6536,52,1.92,1
OldGuard4,0,60,66.8209,3.565082,1.5880,49,2.04,1
OldGuard4,0,70,-2.4375,-7.095994,2.4375,37,0.00,0
OldGuard4,1,0,2.4849,0.270699,22.3158,93,2.15,1
OldGuard4,1,20,4.9753,0.412580,20.4280,57,3.51,1
OldGuard4,1,30,5.1856,0.424408,20.2687,54,3.70,1
OldGuard4,1,40,5.8896,0.463859,19.7350,44,4.55,1
OldGuard4,1,50,6.1016,0.475691,19.5743,41,4.88,1
OldGuard4,1,60,-11.7201,-0.560942,25.7620,31,3.23,0
OldGuard4,1,70,-17.2855,-1.484328,18.2220,9,0.00,0
OldGuard4,2,0,-9.1102,-5.745213,9.1102,106,0.00,0
OldGuard4,2,20,-6.6527,-4.131202,6.6527,66,0.00,0
OldGuard4,2,30,-4.7434,-7.176687,4.7434,63,0.00,0
OldGuard4,2,40,-3.3445,-7.525865,3.3445,51,0.00,0
OldGuard4,2,50,-2.3726,-6.210212,2.3726,36,0.00,0
OldGuard4,2,60,-1.3251,-4.521876,1.3251,20,0.00,0
OldGuard4,2,70,-1.1275,-4.030602,1.1275,17,0.00,0
OldGuard4,3,0,1842.1254,7.274345,19.8484,77,10.39,1
OldGuard4,3,20,1842.1254,7.274345,19.8484,77,10.39,1
OldGuard4,3,30,1522.6573,6.883995,19.8484,77,9.09,1
OldGuard4,3,40,1376.4610,6.669799,19.8484,76,7.89,1
OldGuard4,3,50,1350.1079,6.667436,19.8484,71,7.04,1
OldGuard4,3,60,812.8584,5.704221,19.9019,60,6.67,1
OldGuard4,3,70,299.1346,3.867012,26.5710,53,5.66,1
OldGuard4,4,0,-6.8322,-1.683139,7.8659,67,1.49,0
OldGuard4,4,20,-1.9809,-6.350385,1.9809,30,0.00,0
OldGuard4,4,30,-1.0614,-4.682126,1.0614,16,0.00,0
OldGuard4,4,40,-0.8633,-4.141346,0.8633,13,0.00,0
OldGuard4,4,50,-0.7309,-3.748808,0.7309,11,0.00,0
OldGuard4,4,60,-0.3993,-2.989777,0.3993,6,0.00,0
OldGuard4,4,70,-0.3329,-2.723728,0.3329,5,0.00,0
OldGuard4,5,0,-5.8886,-12.408233,5.8886,91,0.00,0
OldGuard4,5,20,-2.5024,-7.825998,2.5024,38,0.00,0
OldGuard4,5,30,-2.3071,-7.443298,2.3071,35,0.00,0
OldGuard4,5,40,-1.9808,-6.783285,1.9808,30,0.00,0
OldGuard4,5,50,-1.5222,-5.794089,1.5222,23,0.00,0
OldGuard4,5,60,-0.9293,-4.643384,0.9293,14,0.00,0
OldGuard4,5,70,-0.7309,-4.090121,0.7309,11,0.00,0
