step,ep_10,ep_21,ep_30,ep_35,ep_44
390,28.094762,54.173771,10.356374,16.899562,29.197579
391,28.094762,54.173771,9.860313,16.899562,29.197579
392,28.094762,54.173771,9.860313,16.899562,29.197579
393,28.094762,54.173771,16.343990,16.899562,29.197579
394,28.094762,54.173771,19.348372,16.899562,29.197579
395,28.094762,54.173771,28.756195,16.899562,29.197579
396,28.094762,54.173771,28.756195,16.899562,29.197579
397,28.094762,54.173771,28.756195,16.899562,29.197579
398,28.094762,54.173771,28.756195,16.899562,29.197579
399,28.094762,54.173771,28.756195,16.899562,29.197579
400,28.094762,52.380733,28.756195,16.899562,29.197579
401,27.341077,47.122086,28.756195,16.899562,29.197579
402,23.713112,47.122086,28.756195,16.899562,29.197579
403,23.713112,48.799571,33.232343,16.899562,29.197579
404,23.713112,41.643626,33.232343,16.899562,29.197579
405,23.713112,41.643626,33.232343,16.899562,29.197579
406,23.713112,41.643626,34.973528,16.090087,29.197579
407,23.713112,41.643626,34.973528,16.090087,29.197579
408,23.713112,41.643626,34.973528,26.670172,29.197579
409,23.713112,41.643626,34.973528,31.572731,29.197579
410,24.014003,41.643626,34.973528,46.924444,29.197579
411,26.375076,41.643626,34.973528,46.924444,29.197579
412,25.610418,41.643626,34.973528,46.924444,29.197579
413,28.813656,41.643626,34.973528,46.924444,29.197579
414,28.813656,41.643626,34.973528,46.924444,27.799039
415,28.813656,41.643626,32.739806,46.924444,27.799039
416,28.813656,41.643626,32.739806,46.924444,27.799039
417,28.813656,41.643626,32.739806,46.924444,27.799039
418,28.813656,41.643626,32.739806,54.228636,27.799039
419,28.813656,41.643626,32.739806,54.228636,27.799039
420,28.813656,41.643626,32.739806,54.228636,27.799039
421,28.813656,41.643626,32.739806,57.069906,27.799039
422,28.813656,41.643626,32.739806,57.069906,27.799039
423,28.813656,41.643626,32.739806,57.069906,27.799039
424,28.813656,41.643626,32.739806,57.069906,27.799039
425,28.813656,41.643626,37.191341,57.069906,40.568439
426,28.813656,41.643626,37.191341,57.069906,40.568439
427,28.813656,41.643626,37.191341,57.069906,40.568439
428,28.813656,41.643626,39.854784,57.069906,40.568439
429,28.813656,41.643626,39.854784,57.069906,72.924124
430,28.813656,41.643626,39.854784,53.424912,72.924124
431,28.813656,41.643626,39.854784,53.424912,72.924124
432,28.813656,41.643626,58.507660,53.424912,72.924124
433,28.813656,41.643626,50.027034,53.424912,72.924124
434,28.813656,41.643626,50.027034,53.424912,72.924124
435,28.813656,41.643626,50.027034,53.424912,72.924124
436,28.813656,44.969876,50.027034,53.424912,72.924124
437,27.637415,56.684278,50.027034,53.424912,84.275390
438,27.637415,56.684278,50.027034,53.424912,84.275390
439,24.794810,56.684278,50.027034,53.424912,84.275390
440,29.288980,56.684278,50.027034,60.688941,88.690938
441,30.465058,56.684278,50.027034,60.688941,88.690938
442,30.465058,56.684278,50.027034,60.688941,88.690938
443,30.465058,56.684278,50.027034,65.035155,88.690938
444,27.936998,56.684278,48.371244,65.035155,88.690938
445,27.010901,56.684278,43.515121,65.035155,88.690938
446,25.488658,56.684278,43.515121,65.035155,88.690938
447,25.488658,56.684278,45.064203,95.472973,88.690938
448,25.488658,56.684278,38.456010,81.634263,88.690938
449,25.488658,56.684278,38.456010,81.634263,83.026342
450,26.235069,56.684278,38.456010,81.634263,83.026342
451,26.235069,56.684278,38.456010,81.634263,83.026342
452,30.221230,56.684278,38.456010,81.634263,83.026342
453,30.221230,56.684278,38.456010,81.634263,83.026342
454,30.221230,56.684278,38.456010,81.634263,83.026342
455,30.221230,56.684278,38.456010,81.634263,83.026342
456,30.221230,56.684278,38.456010,81.634263,83.026342
457,30.221230,56.684278,38.456010,81.634263,83.026342
458,30.221230,56.684278,38.456010,81.634263,83.026342
459,30.221230,56.684278,38.456010,78.932340,94.315191
460,30.221230,56.684278,38.456010,71.008103,94.315191
461,30.221230,56.684278,38.456010,71.008103,94.315191
462,30.221230,56.684278,38.456010,73.535900,101.069534
463,30.221230,56.684278,38.456010,62.752631,101.069534
464,30.221230,69.884655,38.456010,62.752631,101.069534
465,30.221230,70.599749,38.456010,62.752631,101.069534
466,30.221230,70.599749,38.456010,62.752631,148.372200
467,30.221230,70.599749,38.456010,62.752631,126.865800
468,27.622709,70.599749,38.456010,62.752631,126.865800
469,27.622709,70.599749,38.456010,62.752631,126.865800
470,27.622709,70.599749,38.456010,62.752631,126.865800
471,27.622709,70.599749,38.456010,62.752631,126.865800
472,27.622709,70.599749,38.456010,62.752631,126.865800
473,27.622709,70.599749,38.456010,62.752631,126.865800
474,27.622709,70.599749,38.456010,62.752631,126.865800
475,24.462959,70.599749,38.456010,62.752631,126.865800
476,24.462959,70.599749,38.456010,62.752631,126.865800
477,21.880879,70.599749,38.456010,62.752631,126.865800
478,21.880879,70.599749,38.456010,62.752631,122.666809
479,41.151914,70.599749,38.456010,62.752631,110.351947
480,39.916418,70.599749,38.456010,62.752631,110.351947
481,39.916418,70.599749,39.457180,62.752631,114.280333
482,39.195353,70.599749,49.735556,62.752631,97.522321
483,39.195353,70.599749,49.735556,62.752631,97.522321
484,39.195353,70.599749,49.735556,62.752631,97.522321
485,39.195353,70.599749,49.735556,62.752631,97.522321
486,39.195353,70.599749,49.735556,62.752631,97.522321
487,39.195353,70.599749,49.735556,62.752631,97.522321
488,39.195353,70.599749,49.735556,62.752631,97.522321
489,39.195353,70.599749,49.735556,62.752631,97.522321
490,39.195353,70.599749,49.735556,62.752631,97.522321
491,39.195353,70.599749,49.735556,62.752631,97.522321
492,39.195353,70.599749,49.735556,62.752631,97.522321
493,39.195353,70.599749,49.735556,62.752631,97.522321
494,39.195353,70.599749,49.735556,62.752631,97.522321
495,39.195353,70.599749,49.735556,62.752631,97.522321
496,42.480419,70.599749,49.735556,64.386344,97.522321
497,42.480419,70.599749,49.735556,81.158628,97.522321
498,42.480419,70.599749,49.735556,81.158628,97.522321
499,42.480419,70.599749,49.735556,81.158628,97.522321
500,42.480419,70.599749,49.735556,81.158628,97.522321
501,42.480419,70.599749,49.735556,81.158628,97.522321
502,42.480419,70.599749,49.735556,81.158628,97.522321
503,36.664617,70.599749,49.735556,81.158628,97.522321
504,36.664617,70.599749,49.735556,81.158628,97.522321
505,36.664617,70.599749,49.735556,81.158628,97.522321
506,36.664617,70.599749,49.735556,81.158628,97.522321
507,36.664617,70.599749,49.735556,81.158628,97.522321
508,36.664617,70.599749,49.735556,81.158628,97.522321
509,35.336861,70.599749,49.735556,81.158628,97.522321
510,35.336861,70.599749,49.735556,81.158628,97.522321
511,35.336861,70.599749,54.566797,81.158628,97.522321
