hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
75,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
90,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
120,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
180,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
5,NoDOGE,2,47.15,3.1006,35.82,23,60.87,true,1.471479
8,NoDOGE,2,-16.16,0.4459,46.67,22,40.91,false,0.838380
10,NoDOGE,2,33.00,2.6452,29.66,19,42.11,true,1.329975
12,NoDOGE,2,106.09,3.7361,23.62,18,50.00,true,2.060854
15,NoDOGE,2,9.84,1.4540,32.82,18,44.44,true,1.098397
18,NoDOGE,2,-31.44,-0.5533,47.34,19,36.84,false,0.685559
20,NoDOGE,2,-6.25,0.7144,32.82,18,38.89,false,0.937469
22,NoDOGE,2,4.93,1.2541,32.82,17,41.18,true,1.049274
25,NoDOGE,2,20.73,2.1289,32.82,17,41.18,true,1.207304
30,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
35,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
40,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
45,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
50,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
60,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
75,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
90,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
120,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
180,NoDOGE,2,14.75,1.7866,32.82,17,41.18,true,1.147541
5,NoDOGE,3,106.85,4.6948,29.75,28,60.71,true,2.068520
8,NoDOGE,3,146.32,5.7799,30.97,24,70.83,true,2.463209
10,NoDOGE,3,51.32,3.2686,37.56,23,56.52,true,1.513162
