atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
1.00,OldGuardNoBNB,5,1512,1764,39.3227,3.4295,13,53.8462,23.6282,1
1.00,OldGuardNoBNB,6,1764,2016,-24.4190,-3.4355,18,44.4444,32.8141,1
1.00,LargeCaps5,0,252,504,1224.8622,6.2688,35,62.8571,50.4187,1
1.00,LargeCaps5,1,504,756,-21.6662,-0.9420,17,35.2941,55.4828,1
1.00,LargeCaps5,2,756,1008,500.4759,6.3410,30,60.0000,37.8033,1
1.00,LargeCaps5,3,1008,1260,164.6513,3.6608,34,47.0588,44.5620,1
1.00,LargeCaps5,4,1260,1512,54.5158,5.1621,16,68.7500,25.4390,1
1.00,LargeCaps5,5,1512,1764,38.6140,5.1150,14,50.0000,12.9597,1
1.00,LargeCaps5,6,1764,2016,-24.0784,-3.2078,18,44.4444,30.5955,1
1.00,Legacy3,0,252,504,57.3036,3.3769,24,54.1667,36.5545,1
1.00,Legacy3,1,504,756,12.8568,1.6242,22,40.9091,52.0178,1
1.00,Legacy3,2,756,1008,46.7488,2.4964,28,42.8571,49.4972,1
1.00,Legacy3,3,1008,1260,14.7924,1.7875,32,46.8750,69.7833,1
1.00,Legacy3,4,1260,1512,-8.7495,0.1011,15,40.0000,42.9047,1
1.00,Legacy3,5,1512,1764,-32.0982,-5.2451,8,25.0000,32.0982,1
1.00,Legacy3,6,1764,2016,-21.4832,-2.9940,17,47.0588,29.6517,1
1.00,LowVolume5,0,252,504,234.4282,5.1426,30,56.6667,34.2505,1
1.00,LowVolume5,1,504,756,-54.7198,-4.5291,18,22.2222,72.0066,1
1.00,LowVolume5,2,756,1008,285.0364,4.1485,39,48.7179,47.5378,1
1.00,LowVolume5,3,1008,1260,267.2465,4.7758,34,58.8235,73.0383,1
1.00,LowVolume5,4,1260,1512,-24.3706,-1.3958,15,33.3333,52.2290,1
1.00,LowVolume5,5,1512,1764,-14.1476,0.6303,17,47.0588,33.1635,1
1.00,LowVolume5,6,1764,2016,-50.9654,-10.9021,13,23.0769,52.3637,1
1.00,OldGuard4,0,252,504,33.0510,2.1462,30,50.0000,36.9968,1
1.00,OldGuard4,1,504,756,-58.1639,-5.5483,22,31.8182,72.3898,1
1.00,OldGuard4,2,756,1008,30.4407,2.0998,30,43.3333,49.4972,1
1.00,OldGuard4,3,1008,1260,14.7924,1.7875,32,46.8750,69.7833,1
1.00,OldGuard4,4,1260,1512,8.7582,1.5418,19,42.1053,47.3606,1
1.00,OldGuard4,5,1512,1764,-27.2020,-0.1961,15,33.3333,36.8581,1
1.00,OldGuard4,6,1764,2016,-33.6946,-3.9624,20,45.0000,44.8578,1
1.10,Base5,0,252,504,1235.4247,8.5794,25,68.0000,10.5150,1
