hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
34,Legacy4,0,1.48550895,48.5509,2.834629,6.8028,40,52.5000,true
34,Legacy4,1,1.33528132,33.5281,3.284264,4.3924,64,60.9375,true
34,Legacy4,2,1.46809371,46.8094,2.767932,5.8794,43,55.8140,true
34,Legacy4,3,1.03418022,3.4180,0.389358,8.4090,30,56.6667,true
34,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
34,Legacy4,5,1.05748982,5.7490,1.019492,6.4808,39,30.7692,true
34,Legacy4,6,1.03400451,3.4005,0.738002,5.5245,56,46.4286,true
34,Legacy5BNB,0,1.67117350,67.1174,3.154346,6.8028,47,55.3191,true
34,Legacy5BNB,1,1.27711299,27.7113,2.712339,4.5448,74,54.0541,true
34,Legacy5BNB,2,1.51813812,51.8138,2.684482,7.5456,55,52.7273,true
34,Legacy5BNB,3,0.98971946,-1.0281,0.032249,13.6142,37,54.0541,false
34,Legacy5BNB,4,0.97553327,-2.4467,0.001786,26.3902,57,45.6140,false
34,Legacy5BNB,5,1.05928733,5.9287,1.033940,6.0887,43,30.2326,true
34,Legacy5BNB,6,1.05981081,5.9811,1.183020,5.0630,68,48.5294,true
34,OldGuardNoBNB,0,1.41164834,41.1648,2.418823,7.8431,43,51.1628,true
34,OldGuardNoBNB,1,1.28332193,28.3322,2.810561,4.8377,66,57.5758,true
34,OldGuardNoBNB,2,1.52276160,52.2762,2.916222,5.8794,52,50.0000,true
34,OldGuardNoBNB,3,1.13764909,13.7649,0.974417,9.8338,44,50.0000,true
34,OldGuardNoBNB,4,0.85501522,-14.4985,-0.677815,33.0764,61,39.3443,false
34,OldGuardNoBNB,5,1.04016318,4.0163,0.706176,6.8457,46,32.6087,true
34,OldGuardNoBNB,6,1.00922513,0.9225,0.215628,7.0152,62,45.1613,true
34,LargeCaps5,0,1.47278243,47.2782,2.679061,5.6809,53,49.0566,true
34,LargeCaps5,1,1.14781686,14.7817,1.313359,7.7868,80,47.5000,true
34,LargeCaps5,2,1.57335485,57.3355,3.202698,8.1018,72,58.3333,true
34,LargeCaps5,3,0.97248897,-2.7511,-0.179696,14.3717,38,52.6316,false
34,LargeCaps5,4,1.14581265,14.5813,0.839931,19.0614,54,53.7037,true
34,LargeCaps5,5,1.20049436,20.0494,2.165223,4.3658,46,43.4783,true
34,Legacy3,0,1.26119070,26.1191,2.223793,6.2433,33,48.4848,true
34,Legacy3,1,1.25010986,25.0110,3.349709,4.4304,55,60.0000,true
34,Legacy3,2,1.26018761,26.0188,2.242496,3.9350,34,52.9412,true
34,Legacy3,3,1.01815592,1.8156,0.248681,8.2997,26,53.8462,true
34,Legacy3,4,0.86110232,-13.8898,-1.066797,26.3001,44,40.9091,false
34,Legacy3,5,1.06218580,6.2186,1.203200,6.4753,34,29.4118,true
34,Legacy3,6,1.02086530,2.0865,0.548596,4.1013,48,47.9167,true
34,LowVolume5,0,1.26641103,26.6411,1.889073,9.0450,45,51.1111,true
34,LowVolume5,1,1.12052090,12.0521,1.573556,9.5251,65,50.7692,true
34,LowVolume5,2,1.18638354,18.6384,1.624632,6.4931,47,44.6809,true
34,LowVolume5,3,1.02750383,2.7504,0.286959,17.2778,45,42.2222,true
34,LowVolume5,4,0.83454015,-16.5460,-1.079288,27.1522,49,38.7755,false
34,LowVolume5,5,1.23832395,23.8324,2.368775,6.9682,46,39.1304,true
34,LowVolume5,6,0.91986396,-8.0136,-1.768210,8.6797,45,40.0000,false
34,OldGuard4,0,1.17870927,17.8709,1.502020,8.4533,37,45.9459,true
34,OldGuard4,1,1.20110204,20.1102,2.685863,4.4304,58,56.8966,true
34,OldGuard4,2,1.32388151,32.3882,2.505482,4.7841,44,47.7273,true
34,OldGuard4,3,1.12002157,12.0022,0.876703,10.7418,40,47.5000,true
34,OldGuard4,4,0.86636501,-13.3635,-0.840627,30.4537,51,39.2157,false
34,OldGuard4,5,1.03917476,3.9175,0.717507,7.1572,42,30.9524,true
34,OldGuard4,6,0.97649224,-2.3508,-0.505539,5.4496,54,42.5926,false
35,Base5,0,1.54018553,54.0186,2.689811,5.3383,55,47.2727,true
35,Base5,1,1.18461405,18.4614,1.604207,8.2966,77,49.3506,true
35,Base5,2,1.63515522,63.5155,3.713643,4.9794,67,64.1791,true
35,Base5,3,1.04402460,4.4025,0.492802,14.2674,36,55.5556,true
35,Base5,4,1.01424743,1.4247,0.220623,15.7072,61,50.8197,true
35,Base5,5,1.23166473,23.1665,2.410517,5.5710,54,48.1481,true
35,NoDOGE,0,1.33164760,33.1648,2.107903,5.6809,44,47.7273,true
35,NoDOGE,1,1.18373975,18.3740,1.614659,7.7838,71,50.7042,true
35,NoDOGE,2,1.46882138,46.8821,3.054925,6.9757,60,61.6667,true
35,NoDOGE,3,1.01617569,1.6176,0.234068,15.0842,31,54.8387,true
35,NoDOGE,4,0.94886463,-5.1135,-0.147237,19.8182,50,50.0000,false
35,NoDOGE,5,1.19465354,19.4654,2.173721,4.4757,41,46.3415,true
35,Legacy4,0,1.47233877,47.2339,2.990009,3.7582,40,52.5000,true
35,Legacy4,1,1.33528132,33.5281,3.284264,4.3924,64,60.9375,true
35,Legacy4,2,1.46809371,46.8094,2.767932,5.8794,43,55.8140,true
35,Legacy4,3,1.03418022,3.4180,0.389358,8.4090,30,56.6667,true
35,Legacy4,4,0.83911559,-16.0884,-0.888353,28.9646,55,40.0000,false
35,Legacy4,5,1.04883990,4.8840,0.906542,6.4808,39,30.7692,true
35,Legacy4,6,1.06085407,6.0854,1.085505,5.5245,56,46.4286,true
35,Legacy5BNB,0,1.65635727,65.6357,3.272245,3.8439,47,55.3191,true
35,Legacy5BNB,1,1.27711299,27.7113,2.712339,4.5448,74,54.0541,true
