atr_period,universe,window,day,equity
100,Legacy5,5,250,1.000000
100,Legacy5,6,0,1.000000
100,Legacy5,6,10,1.000000
100,Legacy5,6,20,1.000000
100,Legacy5,6,30,1.000000
100,Legacy5,6,40,1.000000
100,Legacy5,6,50,1.000000
100,Legacy5,6,60,1.000000
100,Legacy5,6,70,1.000000
100,Legacy5,6,80,1.000000
100,Legacy5,6,90,1.000000
100,Legacy5,6,100,1.000000
100,Legacy5,6,110,1.000000
100,Legacy5,6,120,1.000000
100,Legacy5,6,130,1.000000
100,Legacy5,6,140,1.000000
100,Legacy5,6,150,1.000000
100,Legacy5,6,160,1.000000
100,Legacy5,6,170,1.000000
100,Legacy5,6,180,1.000000
100,Legacy5,6,190,1.000000
100,Legacy5,6,200,1.000000
100,Legacy5,6,210,1.000000
100,Legacy5,6,220,1.000000
100,Legacy5,6,230,1.000000
100,Legacy5,6,240,1.000000
100,Legacy5,6,250,1.000000
100,Legacy5,7,0,1.000000
100,Legacy5,7,10,1.000000
100,Legacy5,7,20,1.000000
100,Legacy5,7,30,1.000000
100,Legacy5,7,40,1.000000
100,Legacy5,7,50,1.000000
100,Legacy5,7,60,1.000000
100,Legacy5,7,70,1.000000
100,Legacy5,7,80,1.000000
100,Legacy5,7,90,1.000000
100,Legacy5,7,100,1.000000
100,Legacy5,7,110,1.000000
100,Legacy5,7,120,1.000000
100,Legacy5,7,130,1.000000
100,Legacy5,7,140,1.000000
100,Legacy5,7,150,1.000000
100,Legacy5,7,160,1.000000
100,Legacy5,7,170,1.000000
100,Legacy5,7,180,1.000000
100,Legacy5,7,190,1.000000
100,Legacy5,7,200,1.000000
100,Legacy5,7,210,1.000000
100,Legacy5,7,220,1.000000
100,Legacy5,7,230,1.000000
100,Legacy5,7,240,1.000000
100,Legacy5,7,250,1.000000
100,Legacy5,8,0,1.000000
100,Legacy5,8,10,1.000000
100,Legacy5,8,20,1.000000
100,Legacy5,8,30,1.000000
100,Legacy5,8,40,1.000000
100,Legacy5,8,50,1.000000
100,Legacy5,8,60,1.000000
100,Legacy5,8,70,1.000000
100,Legacy5,8,80,1.000000
100,Legacy5,8,90,1.000000
100,Legacy5,8,100,1.000000
100,Legacy5,8,110,1.000000
100,Legacy5,8,120,1.000000
100,Legacy5,8,130,1.000000
100,Legacy5,8,140,1.000000
100,Legacy5,8,150,1.000000
100,Legacy5,8,160,1.000000
