bar,date,equity
793,2022-10-13 00:00:00,1.0117193484
794,2022-10-14 00:00:00,1.0117193484
795,2022-10-15 00:00:00,1.0117193484
796,2022-10-16 00:00:00,1.0117193484
797,2022-10-17 00:00:00,1.0117193484
798,2022-10-18 00:00:00,1.0117193484
799,2022-10-19 00:00:00,1.0117193484
800,2022-10-20 00:00:00,1.0117193484
801,2022-10-21 00:00:00,1.0117193484
802,2022-10-22 00:00:00,1.0117193484
803,2022-10-23 00:00:00,1.0117193484
804,2022-10-24 00:00:00,1.0117193484
805,2022-10-25 00:00:00,1.0114496644
806,2022-10-26 00:00:00,1.0357259209
807,2022-10-27 00:00:00,1.0278106302
808,2022-10-28 00:00:00,1.0327399120
809,2022-10-29 00:00:00,1.0360823495
810,2022-10-30 00:00:00,1.0268536928
811,2022-10-31 00:00:00,1.0208003894
812,2022-11-01 00:00:00,1.0216395601
813,2022-11-02 00:00:00,0.9695266484
814,2022-11-03 00:00:00,0.9704058906
815,2022-11-04 00:00:00,0.9849197659
816,2022-11-05 00:00:00,0.9837583972
817,2022-11-06 00:00:00,0.9659320824
818,2022-11-07 00:00:00,0.9610044198
819,2022-11-08 00:00:00,0.9148690993
820,2022-11-09 00:00:00,0.9148690993
821,2022-11-10 00:00:00,0.9148690993
822,2022-11-11 00:00:00,0.9148690993
823,2022-11-12 00:00:00,0.9148690993
824,2022-11-13 00:00:00,0.9148690993
825,2022-11-14 00:00:00,0.9148690993
826,2022-11-15 00:00:00,0.9148690993
827,2022-11-16 00:00:00,0.9148690993
828,2022-11-17 00:00:00,0.9148690993
829,2022-11-18 00:00:00,0.9148690993
830,2022-11-19 00:00:00,0.9148690993
831,2022-11-20 00:00:00,0.9148690993
832,2022-11-21 00:00:00,0.9148690993
833,2022-11-22 00:00:00,0.9148690993
834,2022-11-23 00:00:00,0.9148690993
835,2022-11-24 00:00:00,0.9148690993
836,2022-11-25 00:00:00,0.9148690993
837,2022-11-26 00:00:00,0.9148690993
838,2022-11-27 00:00:00,0.9148690993
839,2022-11-28 00:00:00,0.9148690993
840,2022-11-29 00:00:00,0.9146252318
841,2022-11-30 00:00:00,0.9305726334
842,2022-12-01 00:00:00,0.9154961821
843,2022-12-02 00:00:00,0.9163034616
844,2022-12-03 00:00:00,0.8961412170
845,2022-12-04 00:00:00,0.9183844770
846,2022-12-05 00:00:00,0.9059622133
847,2022-12-06 00:00:00,0.9048590906
848,2022-12-07 00:00:00,0.8823765588
849,2022-12-08 00:00:00,0.8936818798
850,2022-12-09 00:00:00,0.8897411679
851,2022-12-10 00:00:00,0.8904910106
852,2022-12-11 00:00:00,0.8897204030
853,2022-12-12 00:00:00,0.8925790342
854,2022-12-13 00:00:00,0.9027891495
855,2022-12-14 00:00:00,0.9002112110
856,2022-12-15 00:00:00,0.8926762573
857,2022-12-16 00:00:00,0.8926762573
858,2022-12-17 00:00:00,0.8926762573
859,2022-12-18 00:00:00,0.8926762573
860,2022-12-19 00:00:00,0.8926762573
861,2022-12-20 00:00:00,0.8926762573
862,2022-12-21 00:00:00,0.8926762573
863,2022-12-22 00:00:00,0.8926762573
