fee_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
6.0,Base5,2,42.98,2.6155,29.86,15,60.00,true
6.0,Base5,3,145.46,8.7690,31.99,14,71.43,true
6.0,Base5,4,92.56,8.8817,14.94,12,75.00,true
6.0,Base5,5,-33.89,-4.8732,49.94,13,23.08,false
6.0,NoDOGE,0,255.26,8.0652,58.81,14,57.14,true
6.0,NoDOGE,1,-22.66,-3.4399,24.98,10,40.00,false
6.0,NoDOGE,2,151.02,6.4243,16.48,14,64.29,true
6.0,NoDOGE,3,170.35,9.4131,31.99,14,71.43,true
6.0,NoDOGE,4,92.56,8.8817,14.94,12,75.00,true
6.0,NoDOGE,5,-15.19,-1.1643,37.59,13,38.46,false
6.0,Legacy4,0,112.07,7.8606,19.83,16,62.50,true
6.0,Legacy4,1,-28.41,-1.3693,36.40,14,35.71,false
6.0,Legacy4,2,141.94,6.3406,16.48,13,53.85,true
6.0,Legacy4,3,371.93,8.3253,35.06,14,64.29,true
6.0,Legacy4,4,5.35,1.4658,29.12,12,58.33,true
6.0,Legacy4,5,-21.81,-1.7079,31.22,13,23.08,false
6.0,Legacy5BNB,0,250.89,12.0899,19.83,15,66.67,true
6.0,Legacy5BNB,1,-34.65,-3.1914,39.41,12,25.00,false
6.0,Legacy5BNB,2,24.68,2.5068,18.21,13,53.85,true
6.0,Legacy5BNB,3,583.05,10.4562,17.78,13,69.23,true
6.0,Legacy5BNB,4,38.71,4.6175,32.44,11,63.64,true
6.0,Legacy5BNB,5,-39.99,-4.6641,47.83,13,30.77,false
6.0,OldGuardNoBNB,0,161.73,7.6858,36.69,15,46.67,true
6.0,OldGuardNoBNB,1,-53.62,-11.0641,53.62,12,16.67,false
6.0,OldGuardNoBNB,2,141.94,6.3406,16.48,13,53.85,true
6.0,OldGuardNoBNB,3,371.93,8.3253,35.06,14,64.29,true
6.0,OldGuardNoBNB,4,5.35,1.4658,29.12,12,58.33,true
6.0,OldGuardNoBNB,5,26.18,3.5899,25.65,12,41.67,true
6.0,LargeCaps5,0,255.26,8.0652,58.81,14,57.14,true
6.0,LargeCaps5,1,-32.89,-5.0221,32.89,11,36.36,false
6.0,LargeCaps5,2,151.02,6.4243,16.48,14,64.29,true
6.0,LargeCaps5,3,206.64,11.8702,25.08,13,69.23,true
6.0,LargeCaps5,4,106.88,9.7189,14.94,12,75.00,true
6.0,LargeCaps5,5,-15.19,-1.1643,37.59,13,38.46,false
6.0,Legacy3,0,288.73,11.8859,12.14,15,66.67,true
6.0,Legacy3,1,26.68,3.0960,26.18,13,53.85,true
6.0,Legacy3,2,-40.49,-3.2166,49.95,16,31.25,false
6.0,Legacy3,3,43.68,3.7451,70.59,15,33.33,true
6.0,Legacy3,4,-33.76,-3.6025,52.09,13,46.15,false
6.0,Legacy3,5,-47.54,-4.3158,53.72,17,23.53,false
6.0,LowVolume5,0,201.05,8.1760,24.55,16,56.25,true
6.0,LowVolume5,1,-10.17,0.0405,40.33,14,50.00,false
6.0,LowVolume5,2,454.09,10.6963,32.06,15,60.00,true
6.0,LowVolume5,3,439.42,9.5361,46.66,14,50.00,true
6.0,LowVolume5,4,-49.36,-4.7076,50.15,13,30.77,false
6.0,LowVolume5,5,-71.97,-6.5712,79.67,18,22.22,false
6.0,OldGuard4,0,205.22,8.1872,29.22,17,58.82,true
6.0,OldGuard4,1,-27.61,-2.7301,33.89,13,38.46,false
6.0,OldGuard4,2,-38.21,-2.9100,49.00,16,37.50,false
6.0,OldGuard4,3,43.68,3.7451,70.59,15,33.33,true
6.0,OldGuard4,4,-14.10,-0.8631,35.19,14,50.00,false
6.0,OldGuard4,5,-42.74,-2.1089,60.26,19,26.32,false
7.0,Base5,0,254.27,8.0534,58.85,14,57.14,true
7.0,Base5,1,753.07,7.2766,19.26,11,63.64,true
7.0,Base5,2,42.55,2.5972,29.89,15,60.00,true
7.0,Base5,3,144.77,8.7463,32.00,14,71.43,true
7.0,Base5,4,92.10,8.8493,14.95,12,75.00,true
7.0,Base5,5,-34.06,-4.9082,50.05,13,23.08,false
7.0,NoDOGE,0,254.27,8.0534,58.85,14,57.14,true
7.0,NoDOGE,1,-22.82,-3.4726,25.07,10,40.00,false
7.0,NoDOGE,2,150.32,6.4075,16.49,14,64.29,true
7.0,NoDOGE,3,169.59,9.3916,32.00,14,71.43,true
7.0,NoDOGE,4,92.10,8.8493,14.95,12,75.00,true
7.0,NoDOGE,5,-15.41,-1.1959,37.70,13,38.46,false
7.0,Legacy4,0,111.40,7.8309,19.86,16,62.50,true
7.0,Legacy4,1,-28.61,-1.3896,36.46,14,35.71,false
7.0,Legacy4,2,141.31,6.3254,16.49,13,53.85,true
7.0,Legacy4,3,370.61,8.3148,35.10,14,64.29,true
7.0,Legacy4,4,5.09,1.4354,29.23,12,58.33,true
