cooldown,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
31,NoDOGE,2,1.29405702,29.4057,2.899701,4.2320,21,66.6667,true
31,NoDOGE,3,1.25146511,25.1465,2.216292,7.9999,19,68.4211,true
31,NoDOGE,4,1.05114977,5.1150,0.471795,11.6498,25,52.0000,true
31,NoDOGE,5,1.15247695,15.2477,1.876741,4.5497,22,59.0909,true
31,Legacy4,0,1.06772315,6.7723,0.695801,8.0225,22,54.5455,true
31,Legacy4,1,1.02940062,2.9401,0.517156,4.7534,25,48.0000,true
31,Legacy4,2,1.49798161,49.7982,4.145503,4.9949,20,70.0000,true
31,Legacy4,3,1.08742390,8.7424,0.873941,8.1814,17,64.7059,true
31,Legacy4,4,0.95497785,-4.5022,-0.354251,13.1762,25,36.0000,false
31,Legacy4,5,1.04149032,4.1490,0.819460,3.6274,19,47.3684,true
31,Legacy4,6,0.99881541,-0.1185,0.002188,6.6088,22,50.0000,false
31,Legacy5BNB,0,1.10657811,10.6578,0.939844,6.5412,25,56.0000,true
31,Legacy5BNB,1,0.98561615,-1.4384,-0.188773,5.2582,31,41.9355,false
31,Legacy5BNB,2,1.70664032,70.6640,4.662586,4.9949,24,75.0000,true
31,Legacy5BNB,3,1.06469005,6.4690,0.563386,13.3995,20,65.0000,true
31,Legacy5BNB,4,1.02194093,2.1941,0.273609,15.6911,28,39.2857,true
31,Legacy5BNB,5,1.02805205,2.8052,0.563755,4.1093,22,40.9091,true
31,Legacy5BNB,6,1.01403354,1.4034,0.334058,4.8792,28,57.1429,true
31,OldGuardNoBNB,0,1.03533885,3.5339,0.390736,8.0225,24,54.1667,true
31,OldGuardNoBNB,1,0.97866743,-2.1333,-0.290710,5.7133,28,42.8571,false
31,OldGuardNoBNB,2,1.49986638,49.9866,4.164591,5.6961,25,60.0000,true
31,OldGuardNoBNB,3,1.11162184,11.1622,0.884911,8.1814,22,54.5455,true
31,OldGuardNoBNB,4,1.02794401,2.7944,0.307119,16.6373,29,37.9310,true
31,OldGuardNoBNB,5,1.02821299,2.8213,0.536993,5.4843,24,45.8333,true
31,OldGuardNoBNB,6,0.99915955,-0.0840,0.017421,7.8618,26,50.0000,false
31,LargeCaps5,0,1.16213427,16.2134,1.394731,9.6896,23,60.8696,true
31,LargeCaps5,1,1.05861829,5.8618,0.742710,8.6381,30,50.0000,true
31,LargeCaps5,2,1.47431041,47.4310,3.888746,2.5650,25,72.0000,true
31,LargeCaps5,3,1.22530179,22.5302,1.930531,5.5609,22,68.1818,true
31,LargeCaps5,4,1.12485643,12.4856,0.939446,11.6498,28,53.5714,true
31,LargeCaps5,5,1.14506146,14.5061,1.795993,4.2570,24,54.1667,true
31,Legacy3,0,1.03240187,3.2402,0.430827,5.5639,18,55.5556,true
31,Legacy3,1,1.05823716,5.8237,1.063430,3.4558,20,50.0000,true
31,Legacy3,2,1.33308790,33.3088,3.223821,4.9949,16,68.7500,true
31,Legacy3,3,1.07118635,7.1186,0.761740,8.1814,14,64.2857,true
31,Legacy3,4,0.90674271,-9.3257,-1.184658,13.3372,20,25.0000,false
31,Legacy3,5,1.05072355,5.0724,1.066976,3.6122,15,46.6667,true
31,Legacy3,6,0.98211448,-1.7886,-0.504159,5.8377,18,44.4444,false
31,LowVolume5,0,1.07538865,7.5389,0.731164,9.0450,21,61.9048,true
31,LowVolume5,1,0.98705197,-1.2948,-0.167314,7.9206,23,43.4783,false
31,LowVolume5,2,1.31631328,31.6313,2.941108,3.1641,20,55.0000,true
31,LowVolume5,3,0.97567258,-2.4327,-0.077620,11.6944,20,45.0000,false
31,LowVolume5,4,0.96108472,-3.8915,-0.269349,21.2047,24,41.6667,false
31,LowVolume5,5,1.13152976,13.1530,1.585051,4.7712,23,47.8261,true
31,LowVolume5,6,0.93906177,-6.0938,-1.412347,7.9548,20,40.0000,false
31,OldGuard4,0,1.00108888,0.1089,0.078404,10.2873,20,55.0000,true
31,OldGuard4,1,1.00608278,0.6083,0.145906,4.4287,23,43.4783,true
31,OldGuard4,2,1.33476520,33.4765,3.243395,5.6961,21,57.1429,true
31,OldGuard4,3,1.09502296,9.5023,0.791225,8.1814,19,52.6316,true
31,OldGuard4,4,0.97602342,-2.3977,-0.149299,17.9719,24,29.1667,false
31,OldGuard4,5,1.03732852,3.7329,0.739493,5.5455,20,45.0000,true
31,OldGuard4,6,0.98245286,-1.7547,-0.393493,7.1011,22,45.4545,false
32,Base5,0,1.20038320,20.0383,1.622080,7.8514,22,59.0909,true
32,Base5,1,1.08642401,8.6424,1.062851,7.2143,27,51.8519,true
32,Base5,2,1.35986052,35.9861,3.383521,2.5839,24,66.6667,true
32,Base5,3,1.28279360,28.2794,2.384523,7.9999,22,63.6364,true
32,Base5,4,1.09660824,9.6608,0.712757,12.0487,28,53.5714,true
32,Base5,5,1.04621701,4.6217,0.800980,6.2993,27,48.1481,true
32,NoDOGE,0,1.15718516,15.7185,1.520875,6.8017,19,63.1579,true
32,NoDOGE,1,1.09532075,9.5321,1.168792,7.2143,24,54.1667,true
32,NoDOGE,2,1.29950544,29.9505,2.942888,4.2320,21,66.6667,true
32,NoDOGE,3,1.25146511,25.1465,2.216292,7.9999,19,68.4211,true
32,NoDOGE,4,1.07557967,7.5580,0.647893,11.6498,24,50.0000,true
32,NoDOGE,5,1.08531944,8.5319,1.471405,4.7431,22,54.5455,true
32,Legacy4,0,1.10186559,10.1866,1.029202,6.0982,21,57.1429,true
32,Legacy4,1,1.06367617,6.3676,1.019320,5.1456,24,50.0000,true
32,Legacy4,2,1.50428862,50.4289,4.184937,4.9949,20,70.0000,true
32,Legacy4,3,1.11090692,11.0907,1.082793,8.1814,16,68.7500,true
32,Legacy4,4,0.91627673,-8.3723,-0.744623,14.2042,25,32.0000,false
32,Legacy4,5,1.01387051,1.3871,0.318579,4.2425,19,36.8421,true
32,Legacy4,6,0.99053543,-0.9465,-0.210154,7.1688,21,52.3810,false
32,Legacy5BNB,0,1.14196300,14.1963,1.240164,6.0982,24,58.3333,true
32,Legacy5BNB,1,1.01843383,1.8434,0.330078,5.8660,30,43.3333,true
32,Legacy5BNB,2,1.71382585,71.3826,4.697337,4.9949,24,75.0000,true
32,Legacy5BNB,3,1.08768213,8.7682,0.721899,13.3995,19,68.4211,true
32,Legacy5BNB,4,0.98052609,-1.9474,-0.089820,16.6893,28,35.7143,false
32,Legacy5BNB,5,1.00078863,0.0789,0.056167,5.2694,22,31.8182,true
