em,universe,window,bar_idx,equity
1.26,LowVolume5,0,30,0.99968358
1.26,LowVolume5,0,40,1.29795068
1.26,LowVolume5,0,50,1.29795068
1.26,LowVolume5,0,60,1.19704010
1.26,LowVolume5,0,70,0.66586019
1.26,LowVolume5,0,80,0.66586019
1.26,LowVolume5,0,90,0.70140272
1.26,LowVolume5,0,100,0.54139096
1.26,LowVolume5,0,110,0.55402070
1.26,LowVolume5,0,120,0.55402070
1.26,LowVolume5,1,0,1.00000000
1.26,LowVolume5,1,10,0.69813236
1.26,LowVolume5,1,20,0.51381166
1.26,LowVolume5,1,30,0.51381166
1.26,LowVolume5,1,40,0.51381166
1.26,LowVolume5,1,50,0.51381166
1.26,LowVolume5,1,60,0.51381166
1.26,LowVolume5,1,70,0.51381166
1.26,LowVolume5,1,80,0.59110261
1.26,LowVolume5,1,90,0.59110261
1.26,LowVolume5,1,100,0.53361838
1.26,LowVolume5,1,110,0.53361838
1.26,LowVolume5,1,120,0.46454163
1.26,LowVolume5,1,130,0.46454163
1.26,LowVolume5,1,140,0.44632571
1.26,LowVolume5,1,150,0.44632571
1.26,LowVolume5,2,0,1.00000000
1.26,LowVolume5,2,10,1.00000000
1.26,LowVolume5,2,20,1.28575823
1.26,LowVolume5,2,30,1.28397879
1.26,LowVolume5,2,40,1.28397879
1.26,LowVolume5,2,50,1.28671503
1.26,LowVolume5,2,60,1.28671503
1.26,LowVolume5,2,70,1.28671503
1.26,LowVolume5,2,80,1.28671503
1.26,LowVolume5,2,90,1.37558724
1.26,LowVolume5,2,100,2.89043759
1.26,LowVolume5,2,110,3.20410664
1.26,LowVolume5,2,120,3.20410664
1.26,LowVolume5,2,130,3.20410664
1.26,LowVolume5,3,0,1.00000000
1.26,LowVolume5,3,10,1.00000000
1.26,LowVolume5,3,20,2.32362844
1.26,LowVolume5,3,30,2.32362844
1.26,LowVolume5,3,40,1.32836386
1.26,LowVolume5,3,50,1.32836386
1.26,LowVolume5,3,60,1.00174498
1.26,LowVolume5,3,70,1.00174498
1.26,LowVolume5,3,80,1.00174498
1.26,LowVolume5,3,90,1.00174498
1.26,LowVolume5,3,100,1.00174498
1.26,LowVolume5,3,110,1.00174498
