cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
10,Legacy5BNB,5,1.5878,1.293854,21.30,11,36.36,1.015878,true
10,OldGuardNoBNB,0,148.2909,5.380014,51.91,19,57.89,2.482909,true
10,OldGuardNoBNB,1,-36.5911,-3.005623,52.98,13,38.46,0.634089,false
10,OldGuardNoBNB,2,272.0762,9.815398,13.89,11,63.64,3.720762,true
10,OldGuardNoBNB,3,186.4552,8.454615,37.09,15,53.33,2.864552,true
10,OldGuardNoBNB,4,31.3558,3.546858,25.10,12,50.00,1.313558,true
10,OldGuardNoBNB,5,20.1416,2.919378,29.56,14,50.00,1.201416,true
10,LargeCaps5,0,50.3740,3.844255,48.59,16,43.75,1.503740,true
10,LargeCaps5,1,-28.6790,-2.964940,47.11,10,40.00,0.713210,false
10,LargeCaps5,2,85.8848,5.722672,27.71,15,40.00,1.858848,true
10,LargeCaps5,3,344.2738,9.111260,38.19,14,57.14,4.442738,true
10,LargeCaps5,4,32.5359,4.721098,13.00,12,41.67,1.325359,true
10,LargeCaps5,5,-24.7115,-2.339052,38.60,15,33.33,0.752885,false
10,Legacy3,0,138.0824,6.374525,24.91,18,55.56,2.380824,true
10,Legacy3,1,76.0686,6.612482,17.18,14,57.14,1.760686,true
10,Legacy3,2,76.3093,4.888162,40.10,15,40.00,1.763093,true
10,Legacy3,3,9.2311,2.429781,41.41,14,42.86,1.092311,true
10,Legacy3,4,-7.1056,0.081555,25.44,12,41.67,0.928944,false
10,Legacy3,5,-3.5478,0.681305,32.42,13,38.46,0.964522,false
10,LowVolume5,0,54.3330,3.455858,49.08,19,42.11,1.543330,true
10,LowVolume5,1,11.3388,2.049676,43.43,15,53.33,1.113388,true
10,LowVolume5,2,425.2530,9.334350,39.06,16,56.25,5.252530,true
10,LowVolume5,3,754.7760,11.909631,30.82,14,57.14,8.547760,true
10,LowVolume5,4,-72.3022,-7.118045,74.65,16,25.00,0.276978,false
10,LowVolume5,5,-38.6078,-1.344233,59.21,17,35.29,0.613922,false
10,OldGuard4,0,176.2032,5.414114,52.02,20,55.00,2.762032,true
10,OldGuard4,1,58.8721,6.987950,13.64,12,66.67,1.588721,true
10,OldGuard4,2,95.4675,5.594090,32.13,14,50.00,1.954675,true
10,OldGuard4,3,9.2311,2.429781,41.41,14,42.86,1.092311,true
10,OldGuard4,4,-32.8840,-2.878218,42.44,13,30.77,0.671160,false
10,OldGuard4,5,14.6994,2.457387,47.53,15,33.33,1.146994,true
11,Base5,0,163.3836,6.551052,48.59,16,50.00,2.633836,true
11,Base5,1,455.5883,4.541548,13.56,13,61.54,5.555883,true
11,Base5,2,352.0066,8.073491,28.37,14,64.29,4.520066,true
11,Base5,3,460.1460,11.161211,23.98,16,62.50,5.601460,true
11,Base5,4,19.0211,3.350068,23.04,12,33.33,1.190211,true
11,Base5,5,-8.2240,0.669536,42.68,15,33.33,0.917760,false
11,NoDOGE,0,163.3836,6.551052,48.59,16,50.00,2.633836,true
11,NoDOGE,1,9.6819,2.461646,29.81,9,55.56,1.096819,true
11,NoDOGE,2,61.7324,3.178105,51.13,16,43.75,1.617324,true
11,NoDOGE,3,579.2083,11.796346,23.98,15,66.67,6.792083,true
11,NoDOGE,4,19.0211,3.350068,23.04,12,33.33,1.190211,true
11,NoDOGE,5,-36.2787,-3.876440,50.37,15,33.33,0.637213,false
11,Legacy4,0,146.5009,6.411332,34.76,19,57.89,2.465009,true
11,Legacy4,1,35.7778,4.818946,31.23,12,50.00,1.357778,true
