atr_period,bar,equity
25,135,11.362851
25,136,11.362851
25,137,11.362851
25,138,10.100686
25,139,10.100686
25,140,10.100686
25,141,9.537477
25,142,9.537477
25,143,9.537477
25,144,8.728132
25,145,8.728132
25,146,9.254614
25,147,9.561498
25,148,9.561498
25,149,9.561498
25,150,9.395689
25,151,9.395689
25,152,9.395689
25,153,9.395689
25,154,9.395689
25,155,8.285376
25,156,8.285376
25,157,6.500518
25,158,6.500518
25,159,6.865230
25,160,6.865230
25,161,6.674865
25,162,6.674865
25,163,5.713054
25,164,5.713054
25,165,5.713054
25,166,6.484128
25,167,11.511276
25,168,9.823281
25,169,9.823281
25,170,12.302940
25,171,12.015577
25,172,8.269179
25,173,8.269179
25,174,8.015233
25,175,7.336276
25,176,8.184711
25,177,8.120209
25,178,8.077908
25,179,8.077908
25,180,9.095786
25,181,8.113825
25,182,8.113825
25,183,8.113825
25,184,8.071241
25,185,7.097648
25,186,7.097648
25,187,7.097648
25,188,7.097648
25,189,8.526372
25,190,8.526372
25,191,7.114294
25,192,7.114294
25,193,7.114294
25,194,13.266105
25,195,13.266105
25,196,13.266105
25,197,13.135714
25,198,15.229770
25,199,15.229770
25,200,15.229770
25,201,15.229770
25,202,15.229770
25,203,14.400922
25,204,14.400922
25,205,14.400922
25,206,14.400922
25,207,12.358305
25,208,12.358305
25,209,12.499836
25,210,12.499836
25,211,17.546229
25,212,17.546229
25,213,17.546229
25,214,17.546229
25,215,19.926487
25,216,19.926487
25,217,19.926487
25,218,19.926487
25,219,19.029601
25,220,22.144424
25,221,21.415059
25,222,21.415059
25,223,21.415059
25,224,21.112656
25,225,21.112656
25,226,23.673424
25,227,23.673424
25,228,23.673424
25,229,29.112038
25,230,28.080078
25,231,28.080078
25,232,23.821013
25,233,23.821013
25,234,23.821013
25,235,23.821013
25,236,23.821013
25,237,23.821013
25,238,21.231324
25,239,21.231324
25,240,20.540116
25,241,20.540116
25,242,20.540116
25,243,30.250520
25,244,28.517821
25,245,28.517821
25,246,28.517821
25,247,28.517821
25,248,27.986548
25,249,27.986548
25,250,27.986548
25,251,27.986548
